region,name
NCR,Metro Manila
CAR,Abra
CAR,Apayao
CAR,Benguet
CAR,Ifugao
CAR,Kalinga
CAR,Mountain Province
Region 1,Ilocos Region
Region 1,Ilocos Norte
Region 1,Ilocos Sur
Region 1,La Union
Region 1,Pangasinan
Region II,Batanes
Region II,Cagayan
Region II,Isabela
Region II,Nueva Vizcaya
Region II,Quirino
Region III,Aurora
Region III,Bataan
Region III,Bulacan
Region III,Nueva Ecija
Region III,Pampanga
Region III,Tarlac
Region III,Zambales
Region IV-A,Batangas
Region IV-A,Cavite
Region IV-A,Laguna
Region IV-A,Quezon
Region IV-A,Rizal
Region IV-B,Marinduque
Region IV-B,Occidental Mindoro
Region IV-B,Oriental Mindoro
Region IV-B,Palawan
Region IV-B,Romblon
Region V,Albay
Region V,Camarines Norte
Region V,Camarines Sur
Region V,Catanduanes
Region V,Masbate
Region V,Sorsogon
Region VI,Aklan
Region VI,Antique
Region VI,Capiz
Region VI,Guimaras
Region VI,Iloilo
Region VI,Negros Occidental
Region VII,Bohol
Region VII,Cebu
Region VII,Negros Oriental
Region VII,Siquijor
Region VIII,Biliran
Region VIII,Eastern Samar
Region VIII,Leyte
Region VIII,Northern Samar
Region VIII,Samar
Region VIII,Southern Leyte
Region IX,Zamboanga del Norte
Region IX,Zamboanga del Sur
Region IX,Zamboanga Sibugay
Region X,Bukidnon
Region X,Camiguin
Region X,Lanao del Norte
Region X,Misamis Occidental
Region X,Misamis Oriental
Region XI,Compostela Valley
Region XI,Davao del Norte
Region XI,Davao del Sur
Region XI,Davao Occidental
Region XI,Davao Oriental
Region XII,Cotabato
Region XII,Sarangani
Region XII,South Cotabato
Region XII,Sultan Kudarat
Region XIII,Agusan del Norte
Region XIII,Agusan del Sur
Region XIII,Dinagat Islands
Region XIII,Surigao del Norte
Region XIII,Surigao del Sur
BARMM,Basilan
BARMM,Lanao del Sur
BARMM,Maguindanao
BARMM,Sulu
BARMM,Tawi-Tawi



